,Mannschaft,Liga,Termine,Tab.-Rang,Punkte
0,Herren,Herren Landesliga Gr. 5,,1,16:2
1,Herren II,Herren Landesklasse Gr. 10,,7,7:11
2,Herren III,Herren Kreisklasse A,,5,2:10
3,Herren IV,Herren Kreisklasse C 1,,5,5:7
4,Herren V,Herren Kreisklasse D 1,,3,8:4
5,Jungen 19,Jungen 19 Bezirksklasse VR,,6,2:10
6,Jungen 19,Jungen 19 Bezirksklasse RR,,2,0:0
7,Jungen 19 II,Jungen 19 Kreisliga B RR,,1,0:0
8,Jungen 19 II,Jungen 19 Kreisliga A VR,,5,3:7
9,Senioren 40,Senioren Bezirksliga,,5,4:8
10,Herren (3er),Herren-A-Pokal,,1,0:0
11,Herren II (3er),Herren-B-Pokal,,10,0:2
12,Herren III (3er),Herren-C-Pokal,,8,0:2
13,Herren IV (3er),Herren-D-Pokal,,10,0:2
14,Herren V (3er),Herren-D-Pokal,,4,0:0
15,Senioren (3er),Senioren-Pokal,,3,0:0
